,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
181,-0.6887,0.1982,1f,0.6,1,1.227895e-11,2.862768e-11,2.170011e-11,4.211965e-11,25.0
182,-0.9693,-1.3396,1f,0.6,1,1.162345e-11,4.003659e-11,2.14043e-11,5.906522e-11,25.0
183,-0.4554,-0.8909,1f,0.6,1,1.303142e-11,3.625108e-11,1.991293e-11,5.133423e-11,25.0
184,-1.3938,-0.6278,1f,0.6,1,1.123678e-11,3.495654e-11,1.904134e-11,4.737727e-11,25.0
185,-0.4497,1.4317,1f,0.6,1,1.227434e-11,2.412278e-11,2.276155e-11,3.750521e-11,25.0
186,-0.258,1.7744,1f,0.6,1,1.320797e-11,2.325499e-11,2.304786e-11,3.572618e-11,25.0
187,-0.05788,-0.6133,1f,0.6,1,1.338909e-11,3.425921e-11,2.127358e-11,4.816967e-11,25.0
188,0.9223,-1.435,1f,0.6,1,1.623036e-11,4.277762e-11,2.487999e-11,6.276941e-11,25.0
189,-0.5781,-0.05277,1f,0.6,1,1.215247e-11,3.079629e-11,2.235542e-11,4.742e-11,25.0
190,0.9878,0.4383,1f,0.6,1,1.652627e-11,2.79736e-11,2.508242e-11,4.090085e-11,25.0
191,0.7875,0.518,1f,0.6,1,1.545825e-11,2.864666e-11,2.530585e-11,3.972536e-11,25.0
192,-0.6764,0.3506,1f,0.6,1,1.281419e-11,2.802874e-11,2.133684e-11,4.111392e-11,25.0
193,-0.2638,0.3708,1f,0.6,1,1.356616e-11,2.817961e-11,2.059116e-11,4.139525e-11,25.0
194,0.1919,0.6274,1f,0.6,1,1.410539e-11,2.70782e-11,2.206339e-11,3.963998e-11,25.0
195,-0.5351,1.532,1f,0.6,1,1.233876e-11,2.425991e-11,2.2309e-11,3.616331e-11,25.0
196,-0.6454,1.4374,1f,0.6,1,1.21826e-11,2.466908e-11,2.10385e-11,3.74268e-11,25.0
197,0.196,-0.4051,1f,0.6,1,1.364844e-11,3.291046e-11,2.469295e-11,4.592415e-11,25.0
198,0.9222,-0.2628,1f,0.6,1,1.548113e-11,3.200908e-11,2.59947e-11,4.451162e-11,25.0
199,1.0165,-0.6328,1f,0.6,1,1.644561e-11,3.389891e-11,2.752772e-11,4.793826e-11,25.0
200,0.0,0.0,1f,0.6,1,1.294916e-11,3.020622e-11,2.37094e-11,4.618915e-11,0.0
201,-0.8014,-0.8294,1f,0.6,1,1.207513e-11,3.552738e-11,1.941026e-11,5.001554e-11,0.0
202,-0.2677,0.215,1f,0.6,1,1.341435e-11,2.8437e-11,2.092534e-11,4.126578e-11,0.0
203,1.6757,0.8946,1f,0.6,1,1.7149e-11,2.550678e-11,2.806675e-11,3.70083e-11,0.0
204,0.2014,1.0447,1f,0.6,1,1.345736e-11,2.511878e-11,2.399971e-11,3.615307e-11,0.0
205,-1.7987,2.7742,1f,0.6,1,1.043089e-11,2.079336e-11,1.859507e-11,3.177684e-11,0.0
206,0.656,-1.2719,1f,0.6,1,1.462905e-11,3.922877e-11,2.461623e-11,5.741978e-11,0.0
207,-0.4937,0.4482,1f,0.6,1,1.294519e-11,2.743478e-11,2.029136e-11,3.971142e-11,0.0
